,AB,AZ,CA,CO,DE,FL,HI,ID,IL,IN,LA,MO,MT,NC,NJ,NV,PA,TN,XMS,score
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-0.35
2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,1,0,0,-0.3
3,3,0,0,0,0,6,0,0,1,2,6,1,0,0,1,0,6,3,0,-0.25
4,2,4,0,0,4,6,0,1,1,6,6,7,0,0,6,0,20,12,0,-0.2
5,7,7,0,0,6,30,0,3,5,23,22,21,0,0,13,1,43,23,0,-0.15
6,11,17,0,0,14,64,0,6,11,45,37,42,0,0,32,9,101,46,0,-0.1
7,21,37,4,0,17,136,0,11,25,85,71,97,0,0,62,29,204,101,0,-0.05
8,65,80,16,0,30,252,0,32,52,155,89,140,0,1,84,42,269,162,0,0.0
9,79,102,18,0,46,262,0,44,57,230,109,179,0,0,147,62,423,182,0,0.05
10,151,164,53,0,65,445,0,87,79,250,161,270,0,0,192,95,736,269,0,0.1
11,263,243,69,0,91,681,0,87,83,368,266,380,0,0,328,135,1206,357,0,0.15
12,348,337,109,0,132,997,0,158,129,500,408,535,0,0,463,242,1703,514,1,0.2
13,512,517,187,1,169,1390,1,232,144,747,567,830,0,0,638,260,2462,702,0,0.25
14,528,586,314,0,189,1975,0,256,174,953,877,800,0,0,695,388,2762,883,0,0.3
15,290,414,261,0,134,1587,0,235,141,611,690,673,0,0,455,287,1903,734,0,0.35
16,110,123,103,0,49,705,0,126,64,151,269,216,1,0,175,109,616,295,0,0.4
17,18,30,19,0,13,150,0,18,12,21,50,40,0,0,34,11,142,56,0,0.45
18,2,9,7,0,1,33,0,5,2,2,9,9,0,0,13,1,32,12,0,0.5
19,0,1,1,0,1,11,0,1,2,1,1,4,0,0,1,1,7,1,0,0.55
20,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,2,0,0,0.6
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.65
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
