text,count,name
meat,7,Rebecca
service,7,Rebecca
3,7,Rebecca
back,6,Rebecca
busy,6,Rebecca
place,6,Rebecca
prices,6,Rebecca
better,6,Rebecca
location,6,Rebecca
terrific,6,Rebecca
like,5,Rebecca
much,5,Rebecca
terrible,5,Rebecca
really,5,Rebecca
need,5,Rebecca
like,30,Rebecca
got,29,Rebecca
good,28,Rebecca
prices,22,Rebecca
well,21,Rebecca
place,21,Rebecca
pretty,21,Rebecca
really,20,Rebecca
reasonable,17,Rebecca
back,16,Rebecca
nice,14,Rebecca
area,14,Rebecca
chicken,13,Rebecca
didnt,13,Rebecca
side,12,Rebecca
